"State","County","sheepCount","hogCount","broilerCount","layerCount","cattleCount","weighted_sheep","weighted_hog","weighted_chickens","weighted_cattle","totalCount_initial"
"delaware","kent",848,1103,62176017,2644,5299,169.6,441.2,497429.288,5299,503339.088
"delaware","newcastle",287,70,3527430,0,1379,57.4,28,28219.44,1379,29683.84
"delaware","sussex",153,1762,176369472,1778,3415,30.6,704.8,1410970,3415,1415120.4
"maryland","allegany",210,0,31911,849,3512,42,0,262.08,3512,3816.08
"maryland","annearundel",482,72,3500,3800,862,96.4,28.8,58.4,862,1045.6
"maryland","baltimore",1366,728,5498,8800,4551,273.2,291.2,114.384,4551,5229.784
"maryland","calvert",294,101,510540,2347,813,58.8,40.4,4103.096,813,5015.296
"maryland","caroline",156,0,54254745,2017,2389,31.2,0,434054.096,2389,436474.296
"maryland","carroll",1946,638,120933,0,17128,389.2,255.2,967.464,17128,18739.864
"maryland","cecil",676,0,6040,0,7230,135.2,0,48.32,7230,7413.52
"maryland","charles",408,333,14383,3430,1234,81.6,133.2,142.504,1234,1591.304
"maryland","dorchester",0,40,41470106,226,128,0,16,331762.656,128,331906.656
"maryland","frederick",2757,3327,14933,67900,35336,551.4,1330.8,662.664,35336,37880.864
"maryland","garrett",947,0,772,3653,12068,189.4,0,35.4,12068,12292.8
"maryland","harford",1024,528,3000,5167,7318,204.8,211.2,65.336,7318,7799.336
"maryland","howard",820,273,1650,1805,2222,164,109.2,27.64,2222,2522.84
"maryland","kent",552,0,9655020,727,8017,110.4,0,77245.976,8017,85373.376
"maryland","montgomery",974,283,366,5338,2844,194.8,113.2,45.632,2844,3197.632
"maryland","princegeorges",332,254,6897,2923,1387,66.4,101.6,78.56,1387,1633.56
"maryland","queenannes",693,392,27022326,3283,3580,138.6,156.8,216204.872,3580,220080.272
"maryland","somerset",127,0,43310068,7224,334,25.4,0,346538.336,334,346897.736
"maryland","stmarys",434,1151,36823,6229,3276,86.8,460.4,344.416,3276,4167.616
"maryland","talbot",615,0,7125165,1276,982,123,0,57011.528,982,58116.528
"maryland","washington",3551,3497,1681,0,36191,710.2,1398.8,13.448,36191,38313.448
"maryland","wicomico",0,59,49917462,655,598,0,23.6,399344.936,598,399966.536
"maryland","worcester",448,546,44436121,0,394,89.6,218.4,355488.968,394,356190.968
"virginia","accomack",365,32,48878886,0,214,73,12.8,391031.088,214,391330.888
"virginia","albemarle",2847,130,335,5425,18134,569.4,52,46.08,18134,18801.48
"virginia","alleghany",111,24,0,750,2898,22.2,9.6,6,2898,2935.8
"virginia","amelia",176,131,7961947,750,11419,35.2,52.4,63701.576,11419,75208.176
"virginia","amherst",219,211,1042,1347,11953,43.8,84.4,19.112,11953,12100.312
"virginia","appomattox",103,92,290,1547,16600,20.6,36.8,14.696,16600,16672.096
"virginia","arlington",0,0,0,0,0,0,0,0,0,0
"virginia","augusta",7941,917,36277388,134098,86078,1588.2,366.8,291291.888,86078,379324.888
"virginia","bath",0,0,0,128,3493,0,0,1.024,3493,3494.024
"virginia","bedford",507,267,1385,5634,38626,101.4,106.8,56.152,38626,38890.352
"virginia","bedford",507,267,1385,5634,38626,101.4,106.8,56.152,38626,38890.352
"virginia","bedford",507,267,1385,5634,38626,101.4,106.8,56.152,38626,38890.352
