st_co,CRCT_ST_CO,GEOID,DRY1997NUM,DRY1997CAL,HOG1997NUM,HOG1997CAL,BRL1997NUM,BRL1997CAL,LAY1997NUM,LAY1997CAL,ALL1997AU,COW2002NUM,COW2002CAL,DRY2002NUM,DRY2002CAL,HOG2002NUM,HOG2002CAL,BRL2002NUM,BRL2002CAL,LAY2002NUM,LAY2002CAL,ALL2002AU,COW2007NUM,COW2007CAL,DRY2007NUM,DRY2007CAL,HOG2007NUM,HOG2007CAL,BRL2007NUM,BRL2007CAL,LAY2007NUM,LAY2007CAL,ALL2007AU,COW2012NUM,COW2012CAL,DRY2012NUM,DRY2012CAL,HOG2012NUM,HOG2012CAL,BRL2012NUM,BRL2012CAL,LAY2012NUM,LAY2012CAL,ALL2012AU,COW2017FAC,COW2017NUM,COW2017CALC,DRY2017FAC,DRY2017NUM,DRY2017CAL,HOG2017FAC,HOG2017NUM,HOG2017CAL,BRL2017FAC,BRL2017NUM ,BRL2017CAL,LAY2017FAC,LAY2017NUM,LAY2017CAL,ALL2017AU
Alabama_Autauga,ALABAMA_AUTAUGA,1001, ,N,4926,Y,,N, ,N,541.86, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,1,163128.5301,y,,,,358.8827663
Alabama_Baldwin,Alabama_Baldwin,1003, ,N,2463,Y,,N,194559,Y,1049.166, ,N, ,N, ,N, ,N,202917,Y,812, ,N, ,N, ,N, ,N,229311,Y,917,,N,,N,,N,,N,232915,Y,932,,,,,,,,,,,,,1,284590.8,y,1138.3632
Alabama_Barbour,Alabama_Barbour,1005, ,N,2463,Y,277587,Y, ,N,881.6214, ,N, ,N,3314,Y,2484122,Y,202917,Y,6637, ,N, ,N, ,N,2916066,Y,229311,Y,7326,,N,,N,,N,2782711,Y,465830,Y,7979,,,,,,,,,,21,3425699.133,y,,,,7536.538092
Alabama_Bibb,Alabama_Bibb,1007, ,N, ,N,,N, ,N,0, ,N, ,N, ,N, ,N, ,N,, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alabama_Blount,Alabama_Blount,1009, ,N, ,N,4302589,Y, ,N,9465.6958, ,N, ,N, ,N,4692230,Y,202917,Y,11125, ,N, ,N,,N,4165808,Y,229311,Y,10073,,N,,N,,N,4328662,Y,232915,Y,10445,,,,,,,,,,56,9135197.687,y,1,284590.8,y,21235.79811
Alabama_Bullock,Alabama_Bullock,1011, ,N, ,N,138793,Y, ,N,305.3446, ,N, ,N, ,N,138007,Y, ,N,303, ,N, ,N,,N,416581,Y, ,N,916,,N,,N,,N,154595,Y,,N,340,,,,,,,,,,,,,,,,0
Alabama_Butler,Alabama_Butler,1013, ,N,2463,Y,416380,Y, ,N,1186.966, ,N, ,N,3314,Y,2484122,Y, ,N,5825, ,N, ,N,4110,Y,3610367,Y, ,N,8387,,N,,N,,N,4792447,Y,,N,10533,,,,,,,,,,35,5709498.554,y,,,,12560.89682
Alabama_Calhoun,Alabama_Calhoun,1015, ,N,2463,Y,1110346,Y, ,N,2713.6912, ,N, ,N, ,N,1380068,Y, ,N,3033, ,N, ,N,4110,Y,1249742,Y, ,N,3199,,N,,N,8540,Y,2318926,Y,,N,6036,,,,,,,1,4840,y,9,1468156.771,y,,,,3762.344897
Alabama_Chambers,Alabama_Chambers,1017, ,N, ,N,,N, ,N,0, ,N, ,N, ,N,138007,Y, ,N,303, ,N, ,N, ,N, ,N, ,N,,,N,,N,,N,,N,,N,,,,,,,,,,,,,,,,,0
Alabama_Cherokee,Alabama_Cherokee,1019, ,N, ,N,693966,Y, ,N,1526.7252, ,N, ,N,3314,Y,276014,Y, ,N,972, ,N, ,N,4110,Y,1110882,Y,229311,Y,3810,,N,,N,4270,Y,2782711,Y,232915,Y,7517,,,,,,,1,4840,y,25,4078213.253,y,1,284590.8,y,10642.83236
