STATE,COUNTY,HOG2022FAC,HOG2022NUM
Alabama,Alabama,4,4000.0
Alabama,Autauga,-,-
Alabama,Baldwin,-,-
Alabama,Barbour,-,-
Alabama,Bibb,-,-
Alabama,Blount,-,-
Alabama,Bullock,-,-
Alabama,Butler,-,-
Alabama,Calhoun,-,-
Alabama,Chambers,-,-
Alabama,Cherokee,1,1000.0
Alabama,Chilton,-,-
Alabama,Choctaw,-,-
Alabama,Clarke,-,-
Alabama,Clay,-,-
Alabama,Cleburne,-,-
Alabama,Coffee,-,-
Alabama,Colbert,-,-
Alabama,Conecuh,-,-
Alabama,Coosa,-,-
Alabama,Covington,-,-
Alabama,Crenshaw,-,-
Alabama,Cullman,-,-
Alabama,Dale,-,-
Alabama,Dallas,-,-
Alabama,DeKalb,1,1000.0
Alabama,Elmore,-,-
Alabama,Escambia,-,-
Alabama,Etowah,-,-
Alabama,Fayette,-,-
Alabama,Franklin,-,-
Alabama,Geneva,-,-
Alabama,Greene,-,-
Alabama,Hale,-,-
Alabama,Henry,-,-
Alabama,Houston,-,-
Alabama,Jackson,-,-
Alabama,Jefferson,-,-
Alabama,Lamar,-,-
Alabama,Lauderdale,-,-
Alabama,Lawrence,-,-
Alabama,Lee,-,-
Alabama,Limestone,-,-
Alabama,Lowndes,-,-
Alabama,Macon,-,-
Alabama,Madison,-,-
Alabama,Marengo,-,-
Alabama,Marion,-,-
Alabama,Marshall,-,-
Alabama,Mobile,-,-
Alabama,Monroe,-,-
Alabama,Montgomery,-,-
Alabama,Morgan,-,-
Alabama,Perry,-,-
Alabama,Pickens,1,1000.0
Alabama,Pike,-,-
Alabama,Randolph,-,-
Alabama,Russell,-,-
Alabama,St.Clair,-,-
Alabama,Shelby,-,-
Alabama,Sumter,1,1000.0
Alabama,Talladega,-,-
Alabama,Tallapoosa,-,-
Alabama,Tuscaloosa,-,-
Alabama,Walker,-,-
Alabama,Washington,-,-
Alabama,Wilcox,-,-
Alabama,Winston,-,-
Arizona,Arizona,2,2000.0
Arizona,Apache,-,-
Arizona,Cochise,-,-
Arizona,Coconino,-,-
Arizona,Gila,-,-
Arizona,Graham,-,-
Arizona,Greenlee,-,-
Arizona,LaPaz,-,-
Arizona,Maricopa,-,-
Arizona,Mohave,-,-
Arizona,Navajo,1,1000.0
Arizona,Pima,1,1000.0
Arizona,Pinal,-,-
Arizona,SantaCruz,-,-
Arizona,Yavapai,-,-
Arizona,Yuma,-,-
Arkansas,Arkansas,27,"131,471"
Arkansas,Arkansas,-,-
Arkansas,Ashley,-,-
Arkansas,Baxter,-,-
Arkansas,Benton,1,(D)
Arkansas,Boone,-,-
Arkansas,Bradley,-,-
Arkansas,Calhoun,-,-
Arkansas,Carroll,-,-
Arkansas,Chicot,-,-
Arkansas,Clark,-,-
Arkansas,Clay,-,-
Arkansas,Cleburne,-,-
Arkansas,Cleveland,-,-
Arkansas,Columbia,-,-
Arkansas,Conway,4,"13,200"
Arkansas,Craighead,-,-
Arkansas,Crawford,-,-
Arkansas,Crittenden,-,-
Arkansas,Cross,-,-
Arkansas,Dallas,-,-
Arkansas,Desha,-,-
Arkansas,Drew,-,-
Arkansas,Faulkner,-,-
Arkansas,Franklin,-,-
Arkansas,Fulton,-,-
Arkansas,Garland,-,-
Arkansas,Grant,-,-
Arkansas,Greene,-,-
Arkansas,Hempstead,3,"9,600"
Arkansas,HotSpring,-,-
Arkansas,Howard,4,"56,601"
Arkansas,Independence,-,-
Arkansas,Izard,1,(D)
Arkansas,Jackson,-,-
Arkansas,Jefferson,-,-
Arkansas,Johnson,-,-
Arkansas,Lafayette,-,-
Arkansas,Lawrence,-,-
