GEOID,Longitude,Latitude,NH3 column
31039,-96.7885168,41.9158651,2.33825E+16
53069,-123.4244583,46.2946377,1.19773E+15
35011,-104.3686961,34.3592729,5.99431E+15
31109,-96.6886584,40.7835474,1.65634E+16
31129,-98.0468422,40.1764918,1.75997E+16
72085,-65.871189,18.1871483,NaN
46099,-96.7957261,43.6674723,1.40626E+16
48327,-99.8588613,30.8852677,3.15002E+15
6091,-120.5219926,39.5769252,3.50365E+15
21053,-85.1360977,36.7272577,7.17854E+15
39063,-83.6659471,41.000217,9.71586E+15
48189,-101.8228879,34.0684364,1.01131E+16
1027,-85.8635254,33.2703999,6.47114E+15
48011,-101.3566363,34.964179,1.22274E+16
39003,-84.1061032,40.7716274,1.07121E+16
13189,-82.4795333,33.4806126,6.1451E+15
55111,-89.9433184,43.428001,8.33586E+15
5137,-92.1404819,35.8570011,7.91838E+15
41063,-117.1855796,45.593753,3.78723E+15
42007,-80.3507209,40.6841401,6.06457E+15
28061,-89.1191761,32.0167482,6.93671E+15
29083,-93.7926278,38.3864909,1.24974E+16
8109,-106.2346662,38.0316514,2.62728E+15
37037,-79.2514542,35.7049939,7.12255E+15
49033,-111.2402269,41.6275976,5.11609E+15
40001,-94.6510258,35.8980428,1.11585E+16
39085,-81.1973297,41.7781416,4.91585E+15
51775,-80.0552407,37.2853329,4.46545E+15
51121,-80.3877942,37.1755376,3.99622E+15
47065,-85.2018432,35.163472,7.14968E+15
35035,-105.7513079,32.6155988,4.35389E+15
35003,-108.3919284,33.9016208,2.55628E+15
1091,-87.791091,32.2475911,6.28749E+15
56023,-110.6829614,42.2299932,4.36546E+15
29011,-94.3440893,37.5007989,1.33951E+16
48057,-96.5795739,28.4417191,2.81447E+15
51735,-76.3035337,37.1283599,4.47375E+15
54075,-80.0101207,38.332606,4.04856E+15
48077,-98.2129174,33.7859042,8.08213E+15
51095,-76.7778878,37.3248367,5.2901E+15
31101,-101.6444493,41.1942448,1.59463E+16
31137,-99.4065568,40.5163647,2.20849E+16
22019,-93.3580154,30.2295588,5.22745E+15
22111,-92.3756501,32.8293486,7.19493E+15
40135,-94.7507569,35.5024345,9.90827E+15
1049,-85.8040207,34.4609148,8.99535E+15
36101,-77.3855253,42.2667252,3.75347E+15
42053,-79.249705,41.513304,4.28384E+15
22105,-90.4064899,30.6213483,5.9001E+15
51179,-77.4580475,38.4230836,5.03622E+15
26109,-87.5014573,45.5355685,4.17311E+15
18073,-87.1188137,41.0176883,1.04553E+16
13025,-81.9829779,31.1973339,4.88054E+15
13171,-84.1466893,33.0744405,5.64165E+15
18151,-85.0024051,41.643467,9.99712E+15
48361,-93.8940999,30.1223229,4.47742E+15
39047,-83.4618927,39.5552462,9.42323E+15
25015,-72.6636936,42.3394593,3.29582E+15
21003,-86.192458,36.7507703,1.08987E+16
37001,-79.4005733,36.0439535,6.12253E+15
20073,-96.2417321,37.8793472,1.29215E+16
25025,-71.018253,42.3385513,2.95517E+15
16051,-112.3185879,43.7969649,8.37145E+15
48177,-97.4919205,29.4619121,4.57853E+15
47115,-85.618399,35.1334215,6.83695E+15
26007,-83.4265739,44.894954,3.20197E+15
21231,-84.8265896,36.8007715,7.64911E+15
47185,-85.4557854,35.9270486,6.94783E+15
48147,-96.1049882,33.5911611,8.2709E+15
20043,-95.1472253,39.7885021,1.38195E+16
48265,-99.3533388,30.059953,2.71746E+15
12053,-82.5259685,28.5559951,1.74119E+15
12129,-84.3591114,30.0913354,5.07004E+15
12131,-86.162798,30.5712465,5.464E+15
28017,-88.9475579,33.9332767,7.75435E+15
2130,-131.1066847,55.4499378,NaN
26035,-84.8383253,43.9911368,5.10299E+15
20157,-97.650883,39.8289061,1.69287E+16
12127,-81.161792,29.057769,1.51787E+15
40017,-97.9798891,35.5433544,1.00528E+16
72115,-66.9276025,18.466357,NaN
78030,-64.9500433,18.3392359,NaN
13115,-85.2136849,34.2636901,7.44754E+15
32001,-118.2641661,39.5377097,5.2911E+15
31181,-98.4985897,40.1806461,1.99552E+16
17067,-91.1688008,40.401318,1.2361E+16
46067,-97.7493828,43.3367101,1.64624E+16
41013,-120.3715849,44.1630537,2.33225E+15
50011,-72.9094023,44.8589643,4.19065E+15
26103,-87.5840278,46.6565964,3.73896E+15
37057,-80.207107,35.7951312,5.7388E+15
17025,-88.4823254,38.7468187,1.11283E+16
29103,-92.1468345,40.1368559,1.19352E+16
29117,-93.5482013,39.778587,1.27912E+16
42117,-77.2572881,41.7668593,3.83301E+15
31043,-96.561327,42.3916244,1.84371E+16
26089,-86.051574,45.1461816,3.27224E+15
51181,-76.8801717,37.1197611,6.19454E+15
48391,-97.1624723,28.3221157,2.66406E+15
39017,-84.5657341,39.4397469,8.811E+15
13273,-84.4394464,31.7771909,5.90587E+15
13063,-84.4128678,33.5516027,4.95521E+15
56013,-108.6089349,43.054831,4.18855E+15
18115,-84.9642994,38.940527,9.08942E+15
13073,-82.2496077,33.5520746,6.15537E+15
8115,-102.3553579,40.8715679,1.48637E+16
30065,-108.4397631,46.5052807,4.83363E+15
42043,-76.7926343,40.4125646,6.33108E+15
46101,-96.6760536,44.0124293,1.20802E+16
54079,-81.906109,38.5105179,7.62422E+15
34037,-74.6919141,41.1374609,3.86885E+15
20039,-100.4597084,39.783542,1.94629E+16
18123,-86.6265397,38.0814361,1.00896E+16
28145,-89.0023393,34.4895325,7.51302E+15
31015,-98.7730221,42.8944477,1.59477E+16
27095,-93.6329964,45.9290434,8.13398E+15
38099,-97.7222304,48.3769789,7.87426E+15
39115,-81.8616967,39.6249458,8.40087E+15
39133,-81.1969618,41.1689703,7.10725E+15
56041,-110.5589468,41.2847255,4.35332E+15
32013,-118.1275915,41.4079136,4.01104E+15
48247,-98.7475716,27.0532315,1.55822E+15
8017,-102.6017914,38.8356456,1.15426E+16
41005,-122.1951274,45.1604934,2.69664E+15
5113,-94.2308841,34.4909149,7.6824E+15
13193,-84.0512306,32.3626859,7.58302E+15
18007,-87.3147863,40.6009394,1.06058E+16
47129,-84.6392616,36.138697,6.56531E+15
46043,-98.3584331,43.3915064,1.59315E+16
24047,-75.3099315,38.2221332,7.13764E+15
