County,2020,2021,2022,Rank in state,Percent change,Percent change,Rank in state,State
Autauga,"45,151","48,914","49,391",9,8.3,1,29,Alabama
Baldwin,"51,230","55,865","56,747",4,9,1.6,21,Alabama
Barbour,"37,111","40,795","40,560",52,9.9,-0.6,53,Alabama
Bibb,"34,938","37,175","37,513",66,6.4,0.9,30,Alabama
Blount,"38,133","42,852","43,744",33,12.4,2.1,16,Alabama
Bullock,"30,495","32,903","31,394",67,7.9,-4.6,67,Alabama
Butler,"39,534","45,213","46,916",17,14.4,3.8,7,Alabama
Calhoun,"39,591","43,045","42,533",40,8.7,-1.2,58,Alabama
Chambers,"36,250","38,929","38,876",59,7.4,-0.1,46,Alabama
Cherokee,"39,971","44,622","44,883",28,11.6,0.6,36,Alabama
Chilton,"38,532","42,012","42,231",42,9,0.5,37,Alabama
Choctaw,"40,531","43,289","46,440",23,6.8,7.3,1,Alabama
Clarke,"41,234","44,784","45,179",26,8.6,0.9,32,Alabama
Clay,"35,069","38,770","39,876",56,10.6,2.9,13,Alabama
Cleburne,"37,928","42,777","44,235",29,12.8,3.4,10,Alabama
Coffee,"45,039","50,028","50,729",8,11.1,1.4,23,Alabama
Colbert,"40,052","43,782","44,061",30,9.3,0.6,35,Alabama
Conecuh,"37,100","40,467","40,376",54,9.1,-0.2,48,Alabama
Coosa,"36,000","38,500","39,617",57,6.9,2.9,12,Alabama
Covington,"37,926","41,679","41,543",46,9.9,-0.3,51,Alabama
Crenshaw,"39,935","45,585","47,882",15,14.1,5,3,Alabama
Cullman,"42,181","46,762","49,122",11,10.9,5,2,Alabama
Dale,"40,264","44,101","43,969",31,9.5,-0.3,50,Alabama
Dallas,"39,269","42,158","41,812",45,7.4,-0.8,54,Alabama
DeKalb,"34,596","40,068","40,558",53,15.8,1.2,27,Alabama
Elmore,"44,636","48,442","49,071",12,8.5,1.3,25,Alabama
Escambia,"36,380","39,770","38,838",60,9.3,-2.3,62,Alabama
Etowah,"39,607","42,571","42,951",37,7.5,0.9,31,Alabama
Fayette,"38,222","41,890","42,036",44,9.6,0.3,41,Alabama
Franklin,"36,497","40,049","42,060",43,9.7,5,4,Alabama
Geneva,"38,181","41,771","41,283",48,9.4,-1.2,57,Alabama
Greene,"36,626","39,661","38,104",65,8.3,-3.9,65,Alabama
Hale,"41,204","44,293","43,219",36,7.5,-2.4,63,Alabama
Henry,"47,555","51,489","52,045",6,8.3,1.1,28,Alabama
Houston,"47,325","51,215","51,096",7,8.2,-0.2,49,Alabama
Jackson,"38,905","43,061","43,275",35,10.7,0.5,39,Alabama
Jefferson,"58,074","64,006","66,345",2,10.2,3.7,8,Alabama
Lamar,"36,793","39,585","39,200",58,7.6,-1,56,Alabama
Lauderdale,"42,199","44,530","45,107",27,5.5,1.3,26,Alabama
Lawrence,"36,917","42,081","41,522",47,14,-1.3,59,Alabama
Lee,"41,326","45,046","46,691",21,9,3.7,9,Alabama
Limestone,"47,831","52,876","53,944",5,10.5,2,18,Alabama
Lowndes,"42,209","47,285","46,639",22,12,-1.4,60,Alabama
Macon,"34,772","37,946","38,135",64,9.1,0.5,38,Alabama
Madison,"56,265","60,198","61,252",3,7,1.8,19,Alabama
Marengo,"43,790","46,837","46,799",18,7,-0.1,44,Alabama
Marion,"37,100","41,264","42,330",41,11.2,2.6,14,Alabama
Marshall,"41,147","45,298","45,892",25,10.1,1.3,24,Alabama
Mobile,"42,416","47,372","47,586",16,11.7,0.5,40,Alabama
Monroe,"38,727","42,105","41,177",51,8.7,-2.2,61,Alabama
Montgomery,"46,116","49,165","49,199",10,6.6,0.1,42,Alabama
Morgan,"42,823","46,248","46,203",24,8,-0.1,45,Alabama
Perry,"37,701","39,995","38,292",63,6.1,-4.3,66,Alabama
Pickens,"39,331","42,738","42,664",38,8.7,-0.2,47,Alabama
Pike,"40,936","45,430","46,766",19,11,2.9,11,Alabama
Randolph,"36,506","41,647","42,590",39,14.1,2.3,15,Alabama
Russell,"35,834","39,584","38,452",62,10.5,-2.9,64,Alabama
St. Clair,"43,432","47,088","48,058",14,8.4,2.1,17,Alabama
Shelby,"59,313","64,523","67,405",1,8.8,4.5,5,Alabama
Sumter,"35,823","38,899","38,538",61,8.6,-0.9,55,Alabama
Talladega,"37,831","41,256","41,231",50,9.1,-0.1,43,Alabama
