StPostal,Fips,Category_001,Category_002,Category_003,Category_004,Category_005,Category_006,Category_010,Category_011,Category_012,Category_013,Category_014,Category_021,Category_022,Category_023,Category_024,Category_025,Category_026,Category_027,Category_028,Category_029,Category_030,Category_031,Category_032,Category_033,Category_034,Category_035,Category_036,Category_037,Category_038,Category_039,Category_041,Category_042,Category_043,Category_044,Category_045,Category_046,Category_047,Category_048,Category_049,Category_050,Category_051,Category_052,Category_053,Category_054,Category_055,Category_056,Category_057,Category_058,Category_059,Category_060,Category_061,Category_066,Category_067,Category_068,Category_069,Category_070,Category_071,Category_072,Category_074,Category_075,Category_076,Category_077,Category_088,Category_092,Category_111,Category_112,Category_121,Category_122,Category_123,Category_124,Category_131,Category_141,Category_142,Category_143,Category_152,Category_176,Category_190,Category_195,Category_204,Category_205,Category_206,Category_207,Category_208,Category_209,Category_210,Category_211,Category_212,Category_213,Category_214,Category_215,Category_216,Category_217,Category_218,Category_219,Category_220,Category_221,Category_222,Category_223,Category_224,Category_225,Category_226,Category_227,Category_228,Category_229,Category_230,Category_231,Category_232,Category_233,Category_236,Category_237,Category_238,Category_239,Category_240,Category_241,Category_242,Category_243,Category_244,Category_245,Category_246,Category_247,Category_248,Category_249,Category_250,Category_254,Corn_all,Cotton_all,Sorghum_all,Soybeans_all,Barley_all,Wheat_Durum_all,Wheat_Winter_all,Oats_all,Canteloupe_all,Lettuce_all
AL,01001,36677,266205,0,226,28413,1414,21932,0,0,0,0,0,0,0,15480,0,1907,57,3012,35,0,0,0,0,0,0,202,4438,0,0,0,0,0,0,0,0,0,1857,0,0,0,0,0,0,0,0,4762,16,1536,0,56,0,7,0,0,1,4,0,94,0,0,0,0,13,240997,0,697614,241374,98556,27294,33592,3833031,3992289,823979,44520,4163868,1055745,445,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1488,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,36677,266205,226,30320,0,0,17387,3012,0,0
AL,01003,231302,348581,0,15370,267569,13604,660131,0,5093,0,0,0,0,0,23,0,8998,0,86245,101738,0,0,0,0,0,0,0,25371,0,0,0,0,5001,0,0,31185,0,22556,0,0,0,0,162,0,0,0,0,3792,470018,0,3648,0,554,0,0,2921,0,0,5388,0,0,0,0,0,1499178,0,2375277,1032996,502558,133688,329423,4192,17947193,51894,83775,4840819,10959975,645514,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3338,0,0,0,0,0,0,0,0,0,13802,0,61833,21621,29,0,0,0,0,0,0,0,0,0,256261,362383,15370,360021,0,0,22823,151416,0,0
AL,01005,47171,174940,0,8015,6425,2587,140894,0,2,0,0,0,0,0,15055,0,7964,731,35114,4645,0,0,0,0,0,0,3,40970,0,0,0,11,0,2243,0,0,0,0,0,19,0,0,34,0,0,0,8131,0,1712,0,996,0,2,0,0,0,2,13,256,0,0,0,0,5548,570346,0,576787,224844,48142,39159,39002,615049,9670327,4905751,467620,4261461,1479031,2218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9060,0,9020,0,3751,0,2210,0,0,0,0,0,0,0,0,0,47171,183960,17075,18140,0,0,41099,38865,0,0
AL,01007,3031,6284,0,5,14083,4,27,0,0,0,0,0,0,0,222,0,196,4915,183,0,0,0,0,0,0,0,6,103,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,82,0,70,0,0,0,0,0,0,0,0,0,0,0,0,22,95137,0,626529,141011,48111,14112,33856,3804721,6871802,1611790,82720,2366861,491072,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3031,6284,5,14288,0,0,418,192,0,0
AL,01009,45718,81862,0,1,80401,0,31,0,0,0,0,0,0,0,3826,0,870,0,0,4,0,0,0,0,0,0,3,448,0,0,0,0,0,0,0,3031,0,1011,0,0,0,0,0,6681,0,0,0,0,60,0,2166,0,0,0,0,0,0,0,0,0,0,0,0,0,200859,0,1000676,350223,88631,20946,15190,7410196,1822320,262680,351,5449601,538,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,524,0,0,0,0,0,0,0,0,0,0,0,45718,81862,1,81795,0,0,4696,524,0,0
AL,01011,55144,89506,0,1784,18359,354,25364,0,0,0,0,0,0,0,444,0,4810,215,6198,743,0,0,0,0,0,0,0,4779,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,30467,2,3658,0,13,0,0,0,0,0,0,0,878,0,0,0,0,6947,193156,0,326899,85668,12262,7338,8061,901150,6224315,3127668,343556,3378991,1354314,440,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,317,0,49,0,500,0,571,0,0,0,0,0,0,0,0,0,55144,89555,2101,23669,0,0,5620,6698,0,0
AL,01013,22838,56356,0,362,2503,44,15568,0,37,0,0,0,0,0,858,0,1,1277,1614,496,0,0,0,0,0,0,140,756,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,873,54,2501,0,584,0,14,0,33,0,0,22,10,0,0,0,0,885,91735,0,682161,81890,45950,15273,9030,1908139,9557332,2970077,361142,3392778,924705,206,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22838,56357,362,2504,0,0,860,1614,0,0
AL,01015,62056,122630,0,554,39211,1767,1760,0,405,0,0,0,0,0,2892,0,42653,0,463,60,0,0,0,0,0,0,0,21031,0,0,0,0,0,0,0,71,0,16,0,0,0,0,0,454,0,0,0,122,6817,0,4144,0,0,0,0,0,0,0,0,0,0,0,0,1494,138807,0,1572071,622045,232440,94929,25905,6984625,2422667,182357,10598,3251960,4089,5246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2137,0,0,0,0,0,0,0,0,0,0,0,0,892,0,0,0,0,0,0,0,0,0,0,0,64193,122630,554,82756,0,0,47682,1355,0,0
AL,01017,1413,17196,0,324,363,0,698,0,0,0,0,0,0,0,3507,0,0,0,0,0,0,0,0,0,0,0,0,2371,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,175,0,491,0,759,0,0,0,0,0,0,0,31,0,0,0,0,0,211643,0,648735,282201,43138,28643,9346,4408148,6127629,100794,90923,3556260,84032,581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1413,17196,325,363,0,0,3508,0,0,0
AL,01019,118130,1165149,0,16,193091,5811,0,0,35,0,0,0,0,0,36218,0,22987,0,5623,1,0,0,0,0,0,0,0,157545,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,10,0,0,0,3132,84747,0,20670,0,0,0,0,0,0,0,0,0,0,0,0,10251,1133345,0,456337,261637,82633,30436,192872,4356888,2825137,837026,155245,3058001,144614,160653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10180,0,0,0,0,0,0,0,0,0,0,0,0,12870,0,0,0,0,0,0,0,0,0,0,0,128310,1165149,16,228948,0,0,69385,18493,0,0
