"X","state","county","cattle.farms","cattle.count","hog.farm","hog.count","layer.farm","layer.count","broiler.farm","broiler.count","sheep.farm","sheep.count"
2,"alabama","autauga",151,14847,2,-47,37,959,1,-47,5,85
3,"alabama","baldwin",320,20092,34,161,133,-47,11,701,29,475
4,"alabama","barbour",264,27451,12,169,30,104897,51,31654273,4,-47
5,"alabama","bibb",74,5285,12,148,35,1027,NA,NA,4,152
6,"alabama","blount",561,31981,24,117,114,370801,115,56575610,41,910
7,"alabama","bullock",106,11649,9,52,14,334,2,-47,5,44
8,"alabama","butler",190,9808,10,-47,34,-47,70,47993145,4,44
9,"alabama","calhoun",328,13844,32,328,86,2361,29,12702313,26,189
10,"alabama","chambers",210,39162,10,107,68,1459,1,-47,11,238
11,"alabama","cherokee",220,12140,25,-47,100,-47,32,33039477,15,620
12,"alabama","chilton",240,14396,25,305,91,2808,3,360,19,316
13,"alabama","choctaw",113,4334,NA,NA,16,384,3,37500,10,191
14,"alabama","clarke",113,6501,6,104,44,1305,NA,NA,8,294
15,"alabama","clay",274,21064,8,51,51,356274,66,32480838,2,-47
16,"alabama","cleburne",166,12335,13,164,38,48702,30,23406961,19,656
17,"alabama","coffee",280,22928,8,45,47,-47,69,64673500,15,477
18,"alabama","colbert",235,11813,17,164,47,-47,7,2786600,12,799
19,"alabama","conecuh",183,15578,22,409,33,-47,9,-47,5,139
20,"alabama","coosa",73,2899,4,8,11,132,2,-47,6,164
21,"alabama","covington",385,23782,12,90,81,442770,34,26763670,16,370
22,"alabama","crenshaw",243,25110,5,7,20,214380,55,51299488,5,284
23,"alabama","cullman",867,45273,37,491,149,1566017,175,87345796,41,1071
24,"alabama","dale",141,12154,6,40,41,205153,68,59102166,15,448
25,"alabama","dallas",220,31558,1,-47,17,855,NA,NA,5,91
26,"alabama","dekalb",972,55742,33,1464,192,1182305,189,108347266,33,888
27,"alabama","elmore",230,8666,14,127,58,1661,NA,NA,19,251
28,"alabama","escambia",158,8844,11,36,42,1310,NA,NA,9,321
29,"alabama","etowah",385,18593,31,208,106,172558,75,32172090,26,572
30,"alabama","fayette",128,5359,13,100,22,1081,11,6080066,4,42
31,"alabama","franklin",415,23291,20,205,67,143135,67,34785164,31,404
32,"alabama","geneva",321,29150,13,90,63,-47,35,43077171,15,218
33,"alabama","greene",144,8444,6,6,11,485,3,18,2,-47
34,"alabama","hale",228,25067,17,57,31,524,9,2016092,4,201
35,"alabama","henry",156,12223,1,-47,29,-47,11,12282800,2,-47
36,"alabama","houston",225,20281,18,81,70,1489,10,4040078,10,324
37,"alabama","jackson",600,34444,16,695,101,140896,65,27193468,28,765
38,"alabama","jefferson",148,4051,29,293,84,2203,7,1200069,10,121
39,"alabama","lamar",121,4809,6,65,29,702,2,-47,8,292
40,"alabama","lauderdale",525,21765,32,273,141,86046,10,5457500,45,1173
41,"alabama","lawrence",573,26753,14,75,82,182321,96,39946260,28,848
42,"alabama","lee",147,7832,9,-47,70,1972,8,146,6,545
43,"alabama","limestone",443,24248,31,514,104,48195,21,10637727,45,885
44,"alabama","lowndes",236,36087,4,116,20,323,21,13760459,7,303
45,"alabama","macon",134,8334,7,34,33,1004,3,264,8,144
46,"alabama","madison",315,13134,32,296,125,3479,17,623,31,939
47,"alabama","marengo",234,27945,3,-47,36,1966,9,-47,8,68
48,"alabama","marion",271,13007,3,-47,53,833,63,37454800,5,31
49,"alabama","marshall",736,38476,14,183,109,366260,136,73280317,55,1532
50,"alabama","mobile",283,17207,17,118,115,4183,6,48,2,-47
51,"alabama","monroe",208,14203,2,-47,25,722,5,-47,14,200
52,"alabama","montgomery",265,38527,2,-47,31,566,11,3211717,5,51
53,"alabama","morgan",542,28032,37,325,161,-47,57,21684012,57,9209
54,"alabama","perry",173,15564,1,-47,29,814,NA,NA,7,176
55,"alabama","pickens",202,17284,9,-47,48,104287,38,19936041,10,286
56,"alabama","pike",265,22628,12,38,29,-47,89,58485100,2,-47
57,"alabama","randolph",385,28776,4,10,74,222443,72,34998910,15,264
58,"alabama","russell",127,12740,10,48,40,1046,9,2941078,8,134
59,"alabama","stclair",289,12590,20,49,106,2313,55,26481318,17,228
60,"alabama","shelby",118,4786,8,165,71,1551,6,78,11,612
61,"alabama","sumter",208,21549,5,3678,12,339,NA,NA,8,322
62,"alabama","talladega",259,15468,12,64,61,2188,17,3504170,16,534
63,"alabama","tallapoosa",172,8367,9,61,43,1092,10,3868900,6,156
64,"alabama","tuscaloosa",167,6805,6,129,71,2164,22,6542365,10,-47
65,"alabama","walker",186,6414,24,155,107,12037,21,12124182,7,256
66,"alabama","washington",215,8126,10,143,64,97816,7,-47,32,413
67,"alabama","wilcox",165,13779,21,408,22,904,NA,NA,10,88
68,"alabama","winston",253,8641,4,42,40,105045,14,1814766,10,224
70,"arizona","apache",1738,37055,238,580,523,4738,3,150,3579,69090
71,"arizona","cochise",343,162200,38,843,182,6049,10,-47,28,1167
72,"arizona","coconino",1017,41999,56,173,286,2823,NA,NA,1184,24939
73,"arizona","gila",97,15170,6,32,38,1559,3,129,2,-47
74,"arizona","graham",226,15201,15,339,34,489,NA,NA,5,93
75,"arizona","greenlee",56,2675,6,48,16,186,NA,NA,6,546
76,"arizona","lapaz",19,NA,NA,NA,3,-47,NA,NA,3,30
77,"arizona","maricopa",293,211891,40,733,274,-47,11,553,44,2958
78,"arizona","mohave",148,19503,9,134,37,1597,1,-47,6,160
79,"arizona","navajo",1241,20363,70,-47,363,3842,NA,NA,2082,39927
80,"arizona","pima",127,18114,16,-47,91,2521,2,-47,22,660
81,"arizona","pinal",197,273261,18,193,107,2496,4,-47,43,-47
82,"arizona","santacruz",95,10409,1,-47,23,855,NA,NA,2,-47
83,"arizona","yavapai",245,35229,23,159,132,4288,7,-47,36,516
84,"arizona","yuma",22,NA,5,192,38,1238,2,-47,5,260
86,"arkansas","arkansas",46,1729,1,-47,10,192,1,-47,NA,NA
87,"arkansas","ashley",98,2779,4,11,60,245346,NA,NA,10,133
88,"arkansas","baxter",289,17440,10,32,63,1456,1,-47,9,138
89,"arkansas","benton",1091,75474,72,-47,293,1469123,116,122249191,83,2034
90,"arkansas","boone",750,58619,33,534,139,290424,35,13546986,53,2532
91,"arkansas","bradley",84,5042,3,7,28,547270,5,3440000,3,62
92,"arkansas","calhoun",65,3406,6,54,21,263,1,-47,NA,NA
93,"arkansas","carroll",657,75392,28,169,120,1932126,90,43589392,40,1243
94,"arkansas","chicot",29,3443,NA,NA,8,48,NA,NA,5,200
95,"arkansas","clark",194,7852,9,143,42,-47,8,2160200,2,-47
96,"arkansas","clay",120,7303,10,47,15,251,21,17494400,17,383
97,"arkansas","cleburne",363,23767,9,58,87,-47,23,5339906,11,251
98,"arkansas","cleveland",86,4252,4,12,11,100436,39,17500799,10,184
99,"arkansas","columbia",170,9033,12,71,30,41550,8,3713200,9,214
100,"arkansas","conway",398,25693,27,14010,75,-47,68,31143660,12,559
101,"arkansas","craighead",105,3325,6,124,28,702,NA,NA,18,461
102,"arkansas","crawford",463,29635,30,187,116,2102,20,5089444,15,308
103,"arkansas","crittenden",19,879,NA,NA,24,838,NA,NA,1,-47
104,"arkansas","cross",45,1762,1,-47,17,338,1,-47,3,30
105,"arkansas","dallas",55,1587,2,-47,15,272,NA,NA,3,36
106,"arkansas","desha",18,385,5,65,8,95,NA,NA,2,-47
107,"arkansas","drew",135,11308,4,16,41,169082,6,3708152,8,289
108,"arkansas","faulkner",687,32726,50,329,171,4121,6,149,59,849
109,"arkansas","franklin",508,50470,13,181,46,162541,51,20866571,11,245
110,"arkansas","fulton",515,49992,15,129,114,66176,3,3240000,45,1912
111,"arkansas","garland",165,4416,20,85,69,-47,NA,NA,5,10
112,"arkansas","grant",148,13467,27,264,66,1289,4,-47,9,21
113,"arkansas","greene",214,6323,10,64,67,2059,1,-47,26,480
114,"arkansas","hempstead",427,64180,14,9669,35,370581,121,50298199,14,364
115,"arkansas","hotspring",294,14785,11,61,95,374506,9,2016,17,258
116,"arkansas","howard",319,29976,16,58549,29,509529,112,45603477,12,528
117,"arkansas","independence",561,49636,14,39,94,-47,53,31101932,25,851
118,"arkansas","izard",392,33361,11,-47,61,86714,17,9917898,10,202
119,"arkansas","jackson",68,2258,2,-47,20,545,3,896000,1,-47
120,"arkansas","jefferson",78,6478,8,14,32,738,4,1992000,2,-47
121,"arkansas","johnson",333,25438,24,335,74,380443,25,17020200,12,1625
122,"arkansas","lafayette",134,26544,9,90,13,221,34,18655333,NA,NA
123,"arkansas","lawrence",214,15494,7,34,28,121832,26,14490280,14,524
124,"arkansas","lee",31,932,1,-47,NA,NA,1,-47,NA,NA
125,"arkansas","lincoln",103,5654,1,-47,15,182318,30,16826336,10,104
126,"arkansas","littleriver",238,28901,6,18,26,483275,41,14859250,10,93
127,"arkansas","logan",636,59254,27,289,116,163089,77,35043607,26,820
128,"arkansas","lonoke",236,14267,14,192,86,2446,NA,NA,19,334
129,"arkansas","madison",692,57392,26,184,118,534734,79,48925577,48,1412
130,"arkansas","marion",317,27618,12,101,50,1170,1,-47,24,350
131,"arkansas","miller",254,18319,NA,NA,43,230793,2,-47,3,184
132,"arkansas","mississippi",23,1627,2,-47,5,45040,NA,NA,NA,NA
133,"arkansas","monroe",8,521,1,-47,NA,NA,NA,NA,NA,NA
