"state","county.x","pop_summed","area_summed","cattled_farms_summed","cattle_count_summed","broiler_farms_summed","broiler_count_summed","layer_farms_summed","layer_count_summed","hog_farms_summed","hog_count_summed","sheep_farms_summed","sheep_count_summed","Population..2020.census.","Area..mi.2.","cattle.farms.x","cattle.count.x","hog.farm.x","hog.count.x","sheep.farm.x","sheep.count.x","broiler.farm.x","broiler.count.x","layer.farm.x","layer.count.x","X","county.y","cattle.farms.y","cattle.count.y","hog.farm.y","hog.count.y","layer.farm.y","layer.count.y","broiler.farm.y","broiler.count.y","sheep.farm.y","sheep.count.y","surrounding_population_density","population_density","animal_density","surrounding_animal_density"
"alabama","barbour",204641,4749.81,1118,105286,232,164465417,196,311630,52,347,40,701,25223,884.88,264,27451,12,169,4,-47,51,31654273,30,104897,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,43.0840391510397,28.5044299792062,31.0222855076395,22.1663603386241
"alabama","bibb",1215384,5896.99,1148,75954,47,9758964,412,11091,98,1097,65,1578,22293,622.58,74,5285,12,148,4,152,0,0,35,1027,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,206.102435310218,35.807446432587,8.48886890038228,12.8801303715964
"alabama","autauga",469523,4384.62,1342,144081,36,16972536,254,7172,48,548,60,1097,58805,594.44,151,14847,2,-47,5,85,1,-47,37,959,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,107.084080262372,98.9250386918781,24.9764484220443,32.8605443573217
"alabama","baldwin",1063485,7772.64,1494,84648,32,794,487,106737,94,634,110,1995,231767,1589.78,320,20092,34,161,29,475,11,701,133,-47,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,136.824167850306,145.785580394772,12.638226672873,10.8905082443031
"alabama","butler",122095,5896.37,1610,138347,194,139816762,235,659099,76,1030,61,1428,19051,776.83,190,9808,10,-47,4,44,70,47993145,34,-47,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,20.7068077478177,24.5240271359242,12.6256709962283,23.4630798270801
"alabama","calhoun",433156,3623.34,1647,84970,238,131306329,497,228122,133,813,119,2799,116441,605.87,328,13844,32,328,26,189,29,12702313,86,2361,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,119.546054193093,192.188093155297,22.8497862577781,23.4507388210877
"alabama","blount",1179214,5014.82,3172,157378,584,289179382,775,2492189,179,1496,197,4690,59134,644.78,561,31981,24,117,41,910,115,56575610,114,370801,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,235.1458277665,91.7119017339247,49.5998635193399,31.3825820268724
"alabama","bullock",376258,4214.05,1161,121329,165,96292432,177,107847,52,341,32,373,10357,622.8,106,11649,9,52,5,44,2,-47,14,334,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,89.2865533156939,16.6297366730893,18.7042389210019,28.7915425778052
"alabama","chilton",494473,5662.56,1279,98001,12,438,349,9807,67,753,76,1847,45014,692.85,240,14396,25,305,19,316,3,360,91,2808,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,87.3232248311718,64.9693295807173,20.7779461643934,17.3068364838518
"alabama","choctaw",191186,7317.94,1393,91327,102,61902213,317,365944,36,4013,85,1871,12665,913.5,113,4334,0,0,10,191,3,37500,16,384,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,26.1256583136784,13.864258347017,4.74438970990695,12.4798782170939
"alabama","clarke",332602,7713,1368,94980,35,38201,340,103097,76,816,111,1729,23087,1238.46,113,6501,6,104,8,294,0,0,44,1305,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,43.1222611175937,18.6417001760251,5.24926117920643,12.3142746013224
"alabama","clay",185106,3848.84,1329,88909,197,98259779,278,630831,50,358,64,1774,14236,603.96,274,21064,8,51,2,-47,66,32480838,51,356274,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,48.0939711705345,23.5710974236704,34.8764818862176,23.10020681556
"alabama","cleburne",466740,4732.96,2303,136294,356,212292789,620,780078,135,846,121,3136,15056,560.1,166,12335,13,164,19,656,30,23406961,38,48702,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,98.6148203238565,26.8809141224781,22.0228530619532,28.7967783374463
"alabama","coffee",213223,4125.92,1635,135752,350,303401095,281,862303,56,310,68,1797,53465,678.97,280,22928,8,45,15,477,69,64673500,47,-47,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,51.6788982820801,78.744274415659,33.7687968540584,32.902237561562
"alabama","colbert",234827,3008.82,1848,86414,180,82975524,348,411502,91,763,119,3278,57227,592.62,235,11813,17,164,12,799,7,2786600,47,-47,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,78.0462108068944,96.5660963180453,19.9335155749047,28.7202291928397
"alabama","conecuh",124747,4628.2,1124,72215,118,74756815,215,444802,57,535,48,1074,11597,850.16,183,15578,22,409,5,139,9,-47,33,-47,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,26.9536752949311,13.6409617013268,18.3236096734732,15.6032582861588
"alabama","coosa",504098,4804.45,1366,75646,104,39854346,386,365706,80,781,79,2033,10387,650.93,73,2899,4,8,6,164,2,-47,11,132,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,104.923144168427,15.9571689736224,4.45362788625505,15.7449864188409
"alabama","covington",485266,7458.75,2130,144941,282,238424974,531,682729,113,1363,113,2398,37570,1030.46,385,23782,12,90,16,370,34,26763670,81,442770,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,65.0599631305514,36.4594452962754,23.0790132562157,19.4323445617563
"alabama","crenshaw",395554,5267.35,1864,178870,349,266187079,262,658039,53,296,54,1529,13194,608.84,243,25110,5,7,5,284,55,51299488,20,214380,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,75.0954464768812,21.6707180868537,41.2423625254582,33.9582522520812
"alabama","cullman",489988,4619.65,3718,185570,614,292770943,762,2602481,154,1388,239,14050,87866,734.84,867,45273,37,491,41,1071,175,87345796,149,1566017,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,106.06604396437,119.571607424746,61.6093299221599,40.169709826502
"alabama","dale",312030,4513.07,1652,146815,333,273315088,309,311539,70,463,63,1467,49326,561.15,141,12154,6,40,15,448,68,59102166,41,205153,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,69.1391890664226,87.9016305800588,21.6590929341531,32.5310708675026
"alabama","dallas",191026,5566.93,1419,154176,34,13760819,252,8629,57,829,61,1127,38462,978.69,220,31558,1,-47,5,91,0,0,17,855,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,34.3144246469778,39.2994717428399,32.2451440190459,27.6949773034689
"alabama","dekalb",459076,4443.49,3373,187050,544,326503793,766,2510900,159,3005,191,5360,71608,777.09,972,55742,33,1464,33,888,189,108347266,192,1182305,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,103.314286743078,92.1489145401434,71.7317170469315,42.0952899635197
"alabama","elmore",491980,4666.36,1265,96036,30,7081241,304,8222,63,535,68,1167,87977,618.48,230,8666,14,127,19,251,0,0,58,1661,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,105.431214051209,142.247121976458,14.0117707929117,20.5804952896905
"alabama","escambia",1059036,8057.15,1778,101870,65,26764452,607,451970,146,1299,107,2181,36757,945.08,158,8844,11,36,9,321,0,0,42,1310,1,"Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317,131.440521772587,38.8930037668769,9.35793795234266,12.6434285075988
