"","state","cattle.farms_state","cattle.farms_accounted","cattle.count_state","cattle.count_accounted","hog.farm_state","hog.farm_accounted","hog.count_state","hog.count_accounted","layer.farm_state","layer.farm_accounted","layer.count_state","layer.count_accounted","broiler.farm_state","broiler.farm_accounted","broiler.count_state","broiler.count_accounted","sheep.farm_state","sheep.farm_accounted","sheep.count_state","sheep.count_accounted"
"1","Alabama",18284,18284,1214015,1214015,924,924,-47,13311,4164,4164,7588334,6220876,2140,2140,1183808730,1177187461,1008,1008,33317,32077
"2","Arizona",5864,5864,997842,863070,541,541,-47,3426,2147,2147,-47,32681,43,43,14754,832,7047,7047,147195,140346
"3","Arkansas",20924,20924,1588074,1588074,1053,1053,145376,106884,4525,4525,14421929,13025671,1924,1924,1045855386,1041334400,1140,1140,32485,31768
"4","California",11759,11759,5239070,5238178,1374,1374,82010,32825,6310,6310,13454544,10060125,460,460,313662311,153075843,3096,3096,532849,455459
"5","Colorado",12030,12030,2658012,2657950,1224,1224,515878,10692,6236,6236,1726744,563894,321,321,757594,27868,1480,1480,362574,339161
"6","Connecticut",876,876,45837,45837,218,218,3701,3701,1209,1209,-47,38283,149,149,223640,223640,332,332,4083,4083
"7","Delaware",230,230,10093,10093,46,46,2935,2935,197,197,-47,4422,588,588,242072919,242072919,74,74,1288,1288
"8","Florida",17435,17435,1574057,1567071,1486,1486,14482,12737,6197,6197,7096782,3041687,415,415,64995839,62063465,1358,1358,24329,24285
"9","Georgia",13708,13708,1000560,1000250,1053,1053,41671,8835,4682,4682,22129571,15901097,2018,2018,1300052315,1272707471,999,999,26839,23790
"10","Idaho",8956,8956,2517987,2517987,562,562,21157,7209,3514,3514,638424,82562,155,155,11815,10553,1208,1208,230681,177765
"11","Illinois",13017,13017,962040,960314,1678,1678,5204135,4775926,4496,4496,7278610,690534,548,548,1121454,485451,1612,1612,50943,49322
"12","Indiana",13984,13984,770048,742945,2150,2150,4372121,3991223,6009,6009,35924482,13701322,715,715,51943087,48381023,2456,2456,79185,77706
"13","Iowa",21750,21750,3517805,3517805,5253,5253,23808603,23717204,5352,5352,43137355,8088867,693,693,16718903,8311504,2482,2482,156013,154034
"14","Kansas",22467,22467,6126402,6126402,907,907,1907011,708965,4371,4371,2025646,253960,252,252,33822,19130,1281,1281,94511,74453
"15","Kentucky",31060,31060,1876383,1876383,1564,1564,454797,193568,8586,8586,5542366,4108839,796,796,262581637,255294490,2744,2744,72199,71961
"16","Louisiana",11150,11150,730491,730491,673,673,5124,4887,3187,3187,3336175,3010668,310,310,135838909,130424324,794,794,14200,13345
