"","state","county","cattle.farms","cattle.count","hog.farm","hog.count","layer.farm","layer.count","broiler.farm","broiler.count","sheep.farm","sheep.count"
"1","Alabama","Alabama",18284,1214015,924,-47,4164,7588334,2140,1183808730,1008,33317
"2","Alabama","Autauga",151,14847,2,-47,37,959,1,-47,5,85
"3","Alabama","Baldwin",320,20092,34,161,133,-47,11,701,29,475
"4","Alabama","Barbour",264,27451,12,169,30,104897,51,31654273,4,-47
"5","Alabama","Bibb",74,5285,12,148,35,1027,NA,NA,4,152
"6","Alabama","Blount",561,31981,24,117,114,370801,115,56575610,41,910
"7","Alabama","Bullock",106,11649,9,52,14,334,2,-47,5,44
"8","Alabama","Butler",190,9808,10,-47,34,-47,70,47993145,4,44
"9","Alabama","Calhoun",328,13844,32,328,86,2361,29,12702313,26,189
"10","Alabama","Chambers",210,39162,10,107,68,1459,1,-47,11,238
"11","Alabama","Cherokee",220,12140,25,-47,100,-47,32,33039477,15,620
"12","Alabama","Chilton",240,14396,25,305,91,2808,3,360,19,316
"13","Alabama","Choctaw",113,4334,NA,NA,16,384,3,37500,10,191
"14","Alabama","Clarke",113,6501,6,104,44,1305,NA,NA,8,294
"15","Alabama","Clay",274,21064,8,51,51,356274,66,32480838,2,-47
"16","Alabama","Cleburne",166,12335,13,164,38,48702,30,23406961,19,656
"17","Alabama","Coffee",280,22928,8,45,47,-47,69,64673500,15,477
"18","Alabama","Colbert",235,11813,17,164,47,-47,7,2786600,12,799
"19","Alabama","Conecuh",183,15578,22,409,33,-47,9,-47,5,139
"20","Alabama","Coosa",73,2899,4,8,11,132,2,-47,6,164
"21","Alabama","Covington",385,23782,12,90,81,442770,34,26763670,16,370
"22","Alabama","Crenshaw",243,25110,5,7,20,214380,55,51299488,5,284
"23","Alabama","Cullman",867,45273,37,491,149,1566017,175,87345796,41,1071
"24","Alabama","Dale",141,12154,6,40,41,205153,68,59102166,15,448
"25","Alabama","Dallas",220,31558,1,-47,17,855,NA,NA,5,91
"26","Alabama","DeKalb",972,55742,33,1464,192,1182305,189,108347266,33,888
"27","Alabama","Elmore",230,8666,14,127,58,1661,NA,NA,19,251
"28","Alabama","Escambia",158,8844,11,36,42,1310,NA,NA,9,321
"29","Alabama","Etowah",385,18593,31,208,106,172558,75,32172090,26,572
"30","Alabama","Fayette",128,5359,13,100,22,1081,11,6080066,4,42
"31","Alabama","Franklin",415,23291,20,205,67,143135,67,34785164,31,404
"32","Alabama","Geneva",321,29150,13,90,63,-47,35,43077171,15,218
"33","Alabama","Greene",144,8444,6,6,11,485,3,18,2,-47
"34","Alabama","Hale",228,25067,17,57,31,524,9,2016092,4,201
"35","Alabama","Henry",156,12223,1,-47,29,-47,11,12282800,2,-47
"36","Alabama","Houston",225,20281,18,81,70,1489,10,4040078,10,324
